web_scraper_order,web_scraper_start_url,category-link-0,data-page-selector,data_0,data_1,name_0,photo_0,price_0,data_2,data_3,data_4,data_5,data_6,data_7,name_1,url_0,name_2,url_1,name_3,url_2,name_4,url_3,name_5,url_4,name_6,url_5,name_7,url_6,name_8,url_7,name_9,url_8,name_10,url_9,name_11,url_10,name_12,url_11,name_13,url_12,name_14,url_13,name_15,url_14,name_16,url_15,name_17,url_16,name_18,url_17,name_19,url_18,name_20,url_19,name_21,url_20,name_22,url_21,name_23,url_22,name_24,url_23,name_25,url_24,name_26,url_25,name_27,url_26,name_28,url_27,name_29,url_28,name_30,url_29,name_31,url_30,name_32,url_31,name_33,url_32,name_34,url_33,name_35,url_34,name_36,url_35,name_37,url_36,name_38,url_37,name_39,url_38,name_40,url_39,name_41,url_40,name_42,url_41,name_43,url_42,name_44,url_43,name_45,url_44,name_46,url_45,name_47,url_46,name_48,url_47,name_49,url_48,name_50,url_49,name_51,url_50,name_52,url_51,name_53,url_52,name_54,url_53,name_55,url_54,name_56,url_55,name_57,url_56,name_58,url_57,name_59,url_58,name_60,url_59,name_61,url_60,name_62,url_61,name_63,url_62,name_64,url_63,name_65,url_64,name_66,url_65,name_67,url_66,name_68,url_67,name_69,url_68,name_70,url_69,name_71,url_70,name_72,url_71,name_73,url_72,name_74,url_73,name_75,url_74,name_76,url_75,name_77,url_76,description_0,addressLocality_0,areaServed_0,addressLocality_1,addressRegion_0,description_1,name_78,Location_0,Price_Range_0,Apartment_Types_0,Possession_Date_0,RERA_ID_0,Popularity_Rank_in_Kandivali_West_0,Luxury_Rank_in_Kandivali_West_0,Total_Units_0,Project_Size_0,Launch_Date_0,Floor_Plan_Sizes_0,2_BHK_Price_0,3_BHK_Price_0,Number_of_Reviews_for_Project_0,Number_of_Reviews_for_Locality_0,Locality_Rating_0,Places_of_Interest_Rating_0,Commuting_Rating_0,Project_vs_Locality_Price_Jan'26_0,Project_vs_Locality_Price_Dec'25_0,image_0,image_1,image_2
1770137763-1,https://www.magicbricks.com/property-for-sale-rent-in-Mumbai/residential-real-estate-Mumbai?mbtracker=google_paid_brand_1_desk_mumbai&ccode=brand_1_sem&gad_source=1&gad_campaignid=300857577&gbraid=0AAAAADtFk5XBR_NELe3A6e9iYN8Fc8KGm&gclid=CjwKCAiA1obMBhAbEiwAsUBbIjo2xRBE9bzcykNhQqVMm0LL4xJZLV8e-hTn5-ZZ5crDwo31Sedf_xoCvP8QAvD_BwE,https://www.magicbricks.com/commercial-property-for-sale-in-mumbai-pppfs,https://www.magicbricks.com/chandak-unicorn-andheri-west-mumbai-pdpid-4d4235323832313237,Read more,+,Chandak Unicorn,"Posted: Feb 01, '26",,,,Under Construction,Transportation Hub,,,DLF The Westpark,DLF The Westpark,Bharat altavista,Bharat altavista,Adcore Westwood,Adcore Westwood,Platinum 53 West,Platinum 53 West,Mesacon Crown,Mesacon Crown,ARY Umar Park,ARY Umar Park,Pranami Bliss,Pranami Bliss,Veena Insignia,Veena Insignia,Transcon Triumph Tower 4,Transcon Triumph Tower 4,Prabhakar Esquina Private Residence,Prabhakar Esquina Private Residence,Zee Ashtavinayak,Zee Ashtavinayak,Rustomjee Ocean Vista,Rustomjee Ocean Vista,Kalpataru Radiance,Kalpataru Radiance,Adani Linkbay Residences,Adani Linkbay Residences,Sunbeam Heights,Sunbeam Heights,Roswalt Zaiden,Roswalt Zaiden,Ekta Tripolis,Ekta Tripolis,Bharat Auravistas,Bharat Auravistas,Chandak Vansham,Chandak Vansham,Kolte Patil Serenova,Kolte Patil Serenova,Naman Habitat,Naman Habitat,Sheth 72 West,Sheth 72 West,Sunteck City 4th Avenue,Sunteck City 4th Avenue,Aditya Runwal Elegante,Aditya Runwal Elegante,Dosti Mezzo 22,Dosti Mezzo 22,Mahindra Vista,Mahindra Vista,Wadhwa 723 Avenue,Wadhwa 723 Avenue,Imprint Jangid Elysium,Imprint Jangid Elysium,Kalpataru Vivant,Kalpataru Vivant,Ashwin Sheth Edmont Aurelia,Ashwin Sheth Edmont Aurelia,L&T Elixir Reserve,L&T Elixir Reserve,Godrej Reserve,Godrej Reserve,Localities in Mumbai,DLF The Westpark,Buy Vs Rent,Bharat altavista,Find an Agent,Adcore Westwood,Projects in Mumbai,Platinum 53 West,Project Review Videos,Mesacon Crown,MBTV Videos,ARY Umar Park,Pranami Bliss,Pranami Bliss,Veena Insignia,Veena Insignia,Transcon Triumph Tower 4,Transcon Triumph Tower 4,Prabhakar Esquina Private Residence,Prabhakar Esquina Private Residence,Zee Ashtavinayak,Zee Ashtavinayak,Rustomjee Ocean Vista,Rustomjee Ocean Vista,Oberoi Springs,Oberoi Springs,RNA NG Eclat,RNA NG Eclat,Lodha World View,Lodha World View,Radius Imperial Heights,Radius Imperial Heights,Windsor Grande Residences,Windsor Grande Residences,Adani Western Heights,Adani Western Heights,Raheja Classique,Raheja Classique,Sunteck City Avenue II,Sunteck City Avenue II,HDIL Metropolis,HDIL Metropolis,Rustomjee Elita,Rustomjee Elita,Sunteck City Avenue 1,Sunteck City Avenue 1,Chandak Stella,Chandak Stella,Romell Asrava,Romell Asrava,,,Mahindra Lifespaces Lokhandwala,Mahindra Lifespaces Lokhandwala,Platinum Corp Pre Launch,Platinum Corp Pre Launch,Flat for sale in Andheri West,Flat for sale in Andheri West,House for sale in Andheri West,House for sale in Andheri West,Villa for sale in Andheri West,Villa for sale in Andheri West,Plots in Andheri West,Plots in Andheri West,Property in Andheri West,Property in Andheri West,New Projects in Andheri West,New Projects in Andheri West,RERA approved Projects in Mumbai,RERA approved Projects in Mumbai,New Projects in Mumbai,New Projects in Mumbai,Commercial Projects in Mumbai,Commercial Projects in Mumbai,Property Rates in Mumbai,Property Rates in Mumbai,Plots in Mumbai,Plots in Mumbai,Flats for sale in Mumbai,Flats for sale in Mumbai,Resale Flats in Mumbai,Resale Flats in Mumbai,Ready To Move Flats in Mumbai,Ready To Move Flats in Mumbai,House for sale in Mumbai,House for sale in Mumbai,Property in Mumbai,Property in Mumbai,New Projects in Andheri West,New Projects in Andheri West,,Property in Noida,Properties in India,,PG in Mumbai,"Chandak Unicorn is a Under Construction project by Chandak Group in Andheri West Mumbai, offering Office Space configuration. Below are the key details of Chandak Unicorn.  Chandak Unicorn PriceRs. 2. 56 Cr OnwardsProperty Types Office SpaceProject TypeCommercialChandak Unicorn StatusUnder ConstructionChandak Unicorn Launch Date01 February 2021Chandak Unicorn Possession Date01 June 2026Towers in Chandak Unicorn1 Situated at a prime location of Andheri West, Chandak Unicorn is a meticulously designed project of Mumbai. It is spread over a sprawling area of 1 Acre. The project features a total of 194 units that are well-ventilated.

Commercial Office Space are the various types of units available, each of which has been created to provide total satisfaction. Chandak Unicorn has been developed by the well-known builder Chandak Group. Strategically located, the complete address of this project is Chandak Unicorn, New Ambivali CHSL, Dattaji Salve Marg, Off Veera Desai Rd, Jeevan Nagar, Andheri West, Mumbai, Maharashtra. The required pincode of the project is 400058. Relish the benefits of living in Chandak Unicorn, which offers all modern comforts.

 Top Amenities in Chandak Unicorn  Grand Entrance lobbySolar EnergyRain Water HarvestingSecurityCCTV CameraFire Fighting Equipment  Chandak Unicorn Floor Plan   Unit ConfigurationUnit SizeChandak Unicorn Commercial Office Space600. 0 Sq. Ft. - 600. 0 Sq. Ft.  To get an idea of the space covered, layout and room sizes, browsing through the floor plan would help. In Chandak Unicorn the units are available in 1 configurations and 6 types of layout designs. Spacious balconies and well-fitted bathrooms ensure a ventilated environment in these configurations. To get an idea of the space covered, layout and room sizes, browsing through the floor plan would help. You can view differnt configurations across unit sizes of Chandak Unicorn on Magicbricks.

Chandak Unicorn Address  If you would like to know the complete address for Chandak Unicorn in Mumbai, it is Chandak Unicorn, New Ambivali CHSL, Dattaji Salve Marg, Off Veera Desai Rd, Jeevan Nagar, Andheri West, Mumbai, Maharashtra, 400058",Chandak Group,"Andheri West, Mumbai",₹ 1.95 Cr - ₹ 2.56 Cr,Office Space,Jun'26,P51800028365,,,194,1 Acre,Feb-21,,,,19,414 reviews,4.2,,04-May,,,,"https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2026/01/13/Project-Photo-5-Saroj-Unicorn-Mumbai-5282127_525_945_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2026/01/13/Project-Photo-4-Saroj-Unicorn-Mumbai-5282127_525_945_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2026/01/13/Project-Photo-3-Saroj-Unicorn-Mumbai-5282127_525_945_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2026/01/13/Project-Photo-2-Saroj-Unicorn-Mumbai-5282127_525_945_470_1080.jpg.webp","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+"
1770137767-2,https://www.magicbricks.com/property-for-sale-rent-in-Mumbai/residential-real-estate-Mumbai?mbtracker=google_paid_brand_1_desk_mumbai&ccode=brand_1_sem&gad_source=1&gad_campaignid=300857577&gbraid=0AAAAADtFk5XBR_NELe3A6e9iYN8Fc8KGm&gclid=CjwKCAiA1obMBhAbEiwAsUBbIjo2xRBE9bzcykNhQqVMm0LL4xJZLV8e-hTn5-ZZ5crDwo31Sedf_xoCvP8QAvD_BwE,https://www.magicbricks.com/commercial-property-for-sale-in-mumbai-pppfs,https://www.magicbricks.com/gagangiri-aerovista-sahar-village-mumbai-pdpid-4d4235343138313831,Read more,+,Gagangiri Aerovista,,,,,,Shopping Centre,,,MCA Gopeshwar Apartments,MCA Gopeshwar Apartments,The Baya Goldspot,The Baya Goldspot,VKG Krishna Residences,VKG Krishna Residences,Hubtown Palmrose,Hubtown Palmrose,Sudarsan Panchsheel,Sudarsan Panchsheel,18th Avenue,18th Avenue,Konark Ganga Niwas CHS Ltd.,Konark Ganga Niwas CHS Ltd.,Konark Ganesh Chhaya CHSL,Konark Ganesh Chhaya CHSL,MPR Zee Sai Chintan,MPR Zee Sai Chintan,Chintamani Parle Nimesh Society,Chintamani Parle Nimesh Society,Shreepati Jade park,Shreepati Jade park,Bharat Primavistas,Bharat Primavistas,Adani Linkbay Residences,Adani Linkbay Residences,L&T Elixir Reserve,L&T Elixir Reserve,Sunbeam Heights,Sunbeam Heights,Roswalt Zaiden,Roswalt Zaiden,Bharat Auravistas,Bharat Auravistas,Chandak Vansham,Chandak Vansham,Kolte Patil Serenova,Kolte Patil Serenova,Naman Habitat,Naman Habitat,Sunteck City 4th Avenue,Sunteck City 4th Avenue,Aditya Runwal Elegante,Aditya Runwal Elegante,Adcore Westwood,Adcore Westwood,Nahars Chandi Valley,Nahars Chandi Valley,Mahindra Vista,Mahindra Vista,Kalpataru Vivant,Kalpataru Vivant,MD Mickeys Square,MD Mickeys Square,Ruparel Zinnia,Ruparel Zinnia,Lodha Woods,Lodha Woods,Piramal Mahalaxmi,Piramal Mahalaxmi,Sri Savaa,Sri Savaa,Evershine Amavi 303,Evershine Amavi 303,Localities in Mumbai,Solitaire Corporate Park,Buy Vs Rent,Green Woods Chkala,Find an Agent,Oberoi Three Sixty West,Projects in Mumbai,Aakash Srishti Heights,Project Review Videos,Pinnacle Business Park,MBTV Videos,Sidhant Complex,Andheri,Andheri,Apraulic Sterling Court D,Apraulic Sterling Court D,Kaatyani Residency,Kaatyani Residency,GURUKRUPA VYOM,GURUKRUPA VYOM,Sheth Vasant Oasis,Sheth Vasant Oasis,Atul Hillcrest,Atul Hillcrest,HDIL Metropolis,HDIL Metropolis,Oberoi Springs,Oberoi Springs,RNA NG Eclat,RNA NG Eclat,Lodha Eternis,Lodha Eternis,Lodha World View,Lodha World View,Windsor Grande Residences,Windsor Grande Residences,Adani Western Heights,Adani Western Heights,Kanakia Sevens,Kanakia Sevens,Raheja Classique,Raheja Classique,Oberoi Splendor,Oberoi Splendor,Sagar City Meditterean,Sagar City Meditterean,Kohinoor City,Kohinoor City,Lodha Acenza,Lodha Acenza,Agate TBC Marol Phase 1,Agate TBC Marol Phase 1,Flat for sale in Andheri East,Flat for sale in Andheri East,House for sale in Andheri East,House for sale in Andheri East,RERA approved Projects in Mumbai,RERA approved Projects in Mumbai,New Projects in Mumbai,New Projects in Mumbai,Commercial Projects in Mumbai,Commercial Projects in Mumbai,Property Rates in Mumbai,Property Rates in Mumbai,Plots in Mumbai,Plots in Mumbai,Flats for sale in Mumbai,Flats for sale in Mumbai,,,,,,,,,,,,,,,,,,,,,,,,Property in Noida,Properties in India,Andheri East,PG in Mumbai,"Aerovista is a well-planned project that is ideally positioned in Andheri East, Mumbai. The project is smartly constructed, and all the units are Ready To Move. This well-constructed project is ready for possession as of 01 December 2024.
Aerovista is smartly developed by the well-known builder Gagangiri Group. This project comes under the pincode of 400069. With all modern conveniences at your disposal, Aerovista will ensure a quality living experience.
  Aerovista Andheri East Mumbai  Key Facts & USPs  Feature  Details  Project Key USPs Blend of luxury and convenience with premium materials, vitrified tiles flooring, granite kitchen countertops, high-end sanitary ware, and enhanced security features Structure Details Constructed using premium materials including vitrified tiles for flooring and granite countertops in kitchens Electrical Systems Power back-up available Location Advantages Located at Sahar Road, Off Western Express Highway, Andheri East; surrounded by posh neighborhoods like Powai, Vile Parle, Goregaon East

Gagangiri Aerovista is a Ready To Move project by Gagangiri Construction in Andheri East Mumbai, offering 1, 2 BHK Flats configuration. Below are the key details of Gagangiri Aerovista.  Gagangiri Aerovista PriceRs. 75. 0 Lac - 1. 53 CrProperty Types1, 2 BHK FlatsGagangiri Aerovista StatusReady To MoveGagangiri Aerovista Launch Date01 September 2017Gagangiri Aerovista Possession Date01 December 2023Towers in Gagangiri Aerovista1 Positioned at well connected locality Andheri East, Gagangiri Aerovista is an aesthetically built project of Mumbai. It is spread out over a large area of 1 Acre. There are in total 23 units in this project.

The grand Gagangiri Aerovista project's commencement certificate has been granted. not granted is the status of the occupancy certificate of this project. A renowned builder Gagangiri Construction has crafted Gagangiri Aerovista with a lot of perfection. The address of this smartly planned project is Opp. Domestic, New Airport Colony, Airports Authority Colony, Parsiwada, Mumbai, Maharashtra. The required pincode of the project is 400069. Enjoy the comforts of living in Gagangiri Aerovista with all modern conveniences at your disposal.

 Top Amenities in Gagangiri Aerovista  Earth quake resistantPremium branded fittingsGrand Entrance lobby3 Tier Security SystemLocated in the Heart of cityMeditation AreaMultipurpose Hall  Gagangiri Aerovista Brochure  You can get all details of Gagangiri Aerovista by downloading their PDF brochure here. This brochure is available on the top right side of the page under the link 'Download Brochure'. You will need to fill in your contact details as name, number and email ID to be able to view the PDF brochure of Gagangiri Aerovista.

Gagangiri Aerovista Address  Opp. Domestic, New Airport Colony, Airports Authority Colony, Parsiwada, Mumbai, Maharashtra, 400069, is the postal address of Gagangiri Aerovista in Mumbai.",Gagangiri Construction,"Andheri East, Mumbai",₹ 75.0 Lac - ₹ 1.53 Cr,"1, 2 BHK Flats",,nullP51800012150,,,23,1 Acre,Sep-17,425 - 638 sq.ft,,,1,383 reviews,4.1,,4.1/5,₹ 23306 / sq.ft4.21%,₹ 22365 / sq.ft0.95%,,"https://img.staticmb.com/mbimages/project/Photo_h470_w1080/Photo_h310_w462/2024/03/13/Project-Photo-8-Aerovista-Mumbai-5418181_622_800_310_462_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/Photo_h310_w462/2024/03/13/Project-Photo-7-Aerovista-Mumbai-5418181_742_800_310_462_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/Photo_h310_w462/2024/03/13/Project-Photo-6-Aerovista-Mumbai-5418181_441_800_310_462_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/Photo_h310_w462/2024/03/13/Project-Photo-5-Aerovista-Mumbai-5418181_460_800_310_462_470_1080.jpg.webp","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+"
1770137770-3,https://www.magicbricks.com/property-for-sale-rent-in-Mumbai/residential-real-estate-Mumbai?mbtracker=google_paid_brand_1_desk_mumbai&ccode=brand_1_sem&gad_source=1&gad_campaignid=300857577&gbraid=0AAAAADtFk5XBR_NELe3A6e9iYN8Fc8KGm&gclid=CjwKCAiA1obMBhAbEiwAsUBbIjo2xRBE9bzcykNhQqVMm0LL4xJZLV8e-hTn5-ZZ5crDwo31Sedf_xoCvP8QAvD_BwE,https://www.magicbricks.com/commercial-property-for-sale-in-mumbai-pppfs,https://www.magicbricks.com/lodha-park-signet-lower-parel-mumbai-pdpid-4d4235343234303133,Read more,,Lodha Park Signet,Posted Yesterday,,,,Under Construction,Transportation Hub,,,Kabra Dvayam,Kabra Dvayam,Prestige Nautilus,Prestige Nautilus,Godrej Trilogy Seafront,Godrej Trilogy Seafront,Godrej Trilogy,Godrej Trilogy,Sugee Sea Krest,Sugee Sea Krest,D and A The Imperial Worli,D and A The Imperial Worli,Lodha Park Tower 6 Adrina,Lodha Park Tower 6 Adrina,Birla Niyaara,Birla Niyaara,Sugee Marina Bay,Sugee Marina Bay,Techno Aakasa,Techno Aakasa,Vraj Tiara,Vraj Tiara,Shree Naman Xana,Shree Naman Xana,Piramal Mahalaxmi,Piramal Mahalaxmi,Piramal Aranya,Piramal Aranya,Lodha Bellevue,Lodha Bellevue,L and T Island Cove,L and T Island Cove,Siddha Sky,Siddha Sky,7 Mahalaxmi,7 Mahalaxmi,Marathon Monte South,Marathon Monte South,Godrej Horizon,Godrej Horizon,L & T The Gateway,L & T The Gateway,Lokhandwala Minerva,Lokhandwala Minerva,Prestige Jasdan Classic,Prestige Jasdan Classic,MICL Aaradhya Avaan,MICL Aaradhya Avaan,Keshav Kohinoor,Keshav Kohinoor,Wadhwa 723 Avenue,Wadhwa 723 Avenue,Ashwin Sheth Edmont Aurelia,Ashwin Sheth Edmont Aurelia,Kalpataru Virtus,Kalpataru Virtus,MD Mickeys Square,MD Mickeys Square,Ruparel Zinnia,Ruparel Zinnia,9 Business Bay,9 Business Bay,Signia Pearl,Signia Pearl,Localities in Mumbai,Harmony Tower,Buy Vs Rent,Lodha Park,Find an Agent,Indiabulls Blu,Projects in Mumbai,Raheja Imperia I,Project Review Videos,Lodha World One,MBTV Videos,Trump Tower,Kalpataru Horizon,Kalpataru Horizon,Ansal Heights,Ansal Heights,RNA Mirage,RNA Mirage,Omkar 1973,Omkar 1973,Provenance Four Seasons Private Residences,Provenance Four Seasons Private Residences,Runwal Reserve,Runwal Reserve,Lodha New Cuffe Parade,Lodha New Cuffe Parade,Rustomjee Crown,Rustomjee Crown,Marathon Futurex,Marathon Futurex,India Bulls Sky Forest,India Bulls Sky Forest,Peninsula Salsette 27,Peninsula Salsette 27,Lodha World Crest,Lodha World Crest,L&T Crescent Bay,L&T Crescent Bay,Lodha Vista,Lodha Vista,Runwal Nirvana,Runwal Nirvana,Lodha Altia,Lodha Altia,Lodha Kiara,Lodha Kiara,Lodha Marquise,Lodha Marquise,Lodha Adrina,Lodha Adrina,Runwal Raaya,Runwal Raaya,Oberai Reality Pre Launch,Oberai Reality Pre Launch,Birla Skyon,Birla Skyon,Flat for sale in Worli,Flat for sale in Worli,House for sale in Worli,House for sale in Worli,Villa for sale in Worli,Villa for sale in Worli,Plots in Worli,Plots in Worli,Property in Worli,Property in Worli,New Projects in Worli,New Projects in Worli,RERA approved Projects in Mumbai,RERA approved Projects in Mumbai,New Projects in Mumbai,New Projects in Mumbai,Commercial Projects in Mumbai,Commercial Projects in Mumbai,Property Rates in Mumbai,Property Rates in Mumbai,Plots in Mumbai,Plots in Mumbai,Flats for sale in Mumbai,Flats for sale in Mumbai,Resale Flats in Mumbai,Resale Flats in Mumbai,Ready To Move Flats in Mumbai,Ready To Move Flats in Mumbai,House for sale in Mumbai,House for sale in Mumbai,Property in Mumbai,Property in Mumbai,New Projects in Worli,New Projects in Worli,Shops for Rent in Lodha Park Signet,Property in Noida,Properties in India,,PG in Mumbai,"Lodha Park Signet Worli Mumbai  Key Facts & USPs  Feature  Details  Project Key USPs Grade-A office and retail spaces, Vastu compliant, dedicated doctors enclave, multi-tier safety & security, best in class facilities management Structure Details RCC framed structure Location Advantages Located in upscale Lower Parel/Worli area, close to business districts, luxury retail, entertainment hubs, and Bandra-Worli Sea Link

Lodha Park Signet is a Under Construction project by Lodha Developers Limited in Worli Mumbai, offering Office Space configuration. Below are the key details of Lodha Park Signet.  Property Types Office SpaceLodha Park Signet StatusUnder ConstructionLodha Park Signet Launch Date01 June 2022Lodha Park Signet Possession Date01 August 2026Towers in Lodha Park Signet1 Situated in Worli, the Lodha Park Signet is planned to offer a modern lifestyle to all the residents. This project has its expanse over an area of 1 Acre. The project has a total of 145 units, constructed with robust quality.

The entire Lodha Park Signet project has been helmed by renowned builder Lodha Developers Limited. The site's exact address is Lower Parel, Near Aum Saheel Tower, Senapati Bapat Road, Lower Parel East, Mumbai, Maharashtra. The project's pin code is 400030. With all modern conveniences at your disposal, Lodha Park Signet will ensure a quality living experience.

Lodha Park Signet Brochure  Curious to know more about this state-of-the-art Lodha Park Signet project? Download this detailed PDF to know more. The brochure can be viewed at the top right side of the page under the link 'Download Brochure'. Simply fill in your details as name, email ID and contact number and view the brochure of Lodha Park Signet.

Lodha Park Signet Address  If you would like to know the complete address for Lodha Park Signet in Mumbai, it is Lower Parel, Near Aum Saheel Tower, Senapati Bapat Road, Lower Parel East, Mumbai, Maharashtra, 400030",Lodha Developers Limited,"Worli, Mumbai",₹ 3.50 Cr Onwards,Office Space,Aug'26,P51900046367,,,145,1 Acre,Jun-22,,,,171,125 reviews,4.1,,4.1/5,,,,"https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2024/10/11/Project-Photo-4-Lodha-Park-Signet-Mumbai-5424013_1255_1600_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2024/10/11/Project-Photo-3-Lodha-Park-Signet-Mumbai-5424013_1038_1600_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2024/10/11/Project-Photo-2-Lodha-Park-Signet-Mumbai-5424013_1106_1600_470_1080.jpg.webp
https://img.staticmb.com/mbimages/project/Photo_h470_w1080/2024/10/11/Location-Plan-5-Lodha-Park-Signet-Mumbai-5424013_1853_1600_470_1080.jpg.webp","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+"
