title,title2,name,location,bhk,size_sqft,price_numeric,amenities,image,image2,image3,source_url,scraped_at
"Apartments in Andheri East, Mumbai | 1419+ Apartments for sale in Andheri East, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,708.0,31900000.0,"garden,gated,gym,lift,metro,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/b4cfc782f552110658d7872297795c18/v1/thumb.jpg,https://housing.com/in/buy/mumbai/flat-andheri_east,2026-04-04T17:53:39.521056Z
"Apartments in Santacruz East, Mumbai | 650+ Apartments for sale in Santacruz East, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,747.0,27599999.999999996,"gated,gym,lift,park,parking,play area,pool,power backup,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/flat-santacruz_east,2026-04-04T17:53:46.778935Z
Luxury Apartments in Mumbai Metropolitan Region | 947+ Luxury Flats for sale in Mumbai Metropolitan Region,1 BHK in Mumbai,Firecrawl,Mumbai,1,,126300000.00000001,"garden,metro,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/16a4cc61c906db95548f2d537fab711b/v0/thumb.jpg,https://housing.com/in/buy/mumbai/luxury-apartments-in-mmr-M1P3731bwacldw16z6bZ2,2026-04-04T17:53:53.974352Z
"Apartments in Bhuleshwar, Mumbai | 45+ Apartments for sale in Bhuleshwar, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,450.0,14000000.0,"garden,gated,gym,hospital,lift,park,parking,play area,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://c.housingcdn.com/demand/s/client/common/assets/Security.bf739868.svg,https://housing.com/in/buy/mumbai/flat-bhuleshwar,2026-04-04T17:54:00.234653Z
"Apartments in Bandra, Mumbai | 922+ Apartments for sale in Bandra, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,1458.0,108400000.0,"gated,gym,lift,metro,park,pool,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/a63ca07dcde0782a8442aa8bce0353d6/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/flat-bandra_1,2026-04-04T17:54:07.416947Z
"Apartments in Kurla West, Mumbai | 303+ Apartments for sale in Kurla West, Mumbai",1 BHK in Mumbai,Firecrawl,Mumbai,1,472.0,10600000.0,"garden,gated,gym,hospital,lift,park,parking,play area,pool,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/c52967d25d83ea1542dd694214548156/v0/thumb.jpeg,https://housing.com/in/buy/mumbai/flat-kurla_west,2026-04-04T17:54:14.444425Z
40759+ Under Construction Apartments / Flats for sale in Mumbai.,1 BHK in Mumbai,Firecrawl,Mumbai,1,,8250000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/0b8ad14c/2ed4ecfe7a7a8159bbfc823def517dca/v0/thumb.jpg,https://housing.com/in/buy/mumbai/under-construction-apartments-in-mumbai-AC1M1Pskwz0ocdh7q42r5,2026-04-04T17:54:18.499560Z
Luxury Apartments in Mumbai | 449+ Luxury Flats for sale in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,,5772000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/51c24d1d08478fa5b668f9ccdebed5a9/v0/thumb.jpg,https://housing.com/in/buy/mumbai/luxury-apartments-in-mumbai-M1Pskwz0ocdh7q42r5Z2,2026-04-04T17:54:24.494881Z
Flats for Sale in Mumbai under 30 Lakhs |  2397+ Properties below 30 Lakhs in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,,1308000.0,"garden,park,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/c1716a6a3bbbeb7c6c8361ba8df184f0/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flats-in-mumbai-under-30-lakhs-Pskwz0ocdh7q42r5U1satc,2026-04-04T17:54:30.919760Z
Flats for Sale in Mumbai under 20 Lakhs |  1218+ Properties below 20 Lakhs in Mumbai,1 BHK in Mumbai,Firecrawl,Mumbai,1,620.0,1308000.0,"garden,gated,gym,hospital,lift,metro,park,parking,play area,power backup,school,security",https://c.housingcdn.com/demand/s/client/common/assets/housing-logo.c02cf34a.png,https://c.housingcdn.com/demand/s/client/common/assets/featuredAgentStar.34d4da7b.svg,https://housing-images.n7net.in/fb15c03b/c1716a6a3bbbeb7c6c8361ba8df184f0/v0/thumb.jpg,https://housing.com/in/buy/mumbai/flats-in-mumbai-under-20-lakhs-Pskwz0ocdh7q42r5U16v7k,2026-04-04T17:54:38.470930Z
