web_scraper_order,web_scraper_start_url,data,name,data2,title,title2,data3,data5,title3,data7,data8,data11,data14,image,image2,image3,image4
"1770138947-48","https://housing.com/in/buy/mumbai/mumbai","Contact","Sales Team","1/16","Sanghvi Sapphire","1.5, 2 BHK Flats  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","1.5, 2 BHK Flats  in Jogeshwari West, Mumbai","2w ago","Possession: Mar, 2028","Possession: Mar, 2028","1.5 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-49","https://housing.com/in/buy/mumbai/mumbai","Contact","Yellow Spaces","1/21","Khandelwal Luxor Wing B","1, 2 BHK Flats  in Borivali West, Mumbai","Zero Brokerage","RERA","1, 2 BHK Flats  in Borivali West, Mumbai","3d ago","Possession: Dec, 2027","Possession: Dec, 2027","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-50","https://housing.com/in/buy/mumbai/mumbai","Contact","Yellow Spaces","1/41","Kalpataru Advay","1, 2, 2.5, 3, 4 BHK Flats  in Borivali West, Mumbai","Zero Brokerage","RERA","1, 2, 2.5, 3, 4 BHK Flats  in Borivali West, Mumbai","2w ago","Possession: Jun, 2030","Possession: Jun, 2030","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-51","https://housing.com/in/buy/mumbai/mumbai","Contact","Bonus Aventus Services","1/2","K Ajmera Ananta","1, 2, 3 BHK Flats  in Mulund West, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Mulund West, Mumbai","3w ago","Possession: Aug, 2025","Possession: Aug, 2025","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-52","https://housing.com/in/buy/mumbai/mumbai","Contact","AH property","1/8","Majestic Park West","1, 2, 3 BHK Flats  in Andheri West, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Andheri West, Mumbai","3d ago","Possession: Jun, 2028","Possession: Jun, 2028","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-53","https://housing.com/in/buy/mumbai/mumbai","Contact","Proptiger Marketing Services Private Limited","1/6","Mesacon Sohag","2, 3 BHK Flats  in Andheri West, Mumbai","Zero Brokerage","RERA","2, 3 BHK Flats  in Andheri West, Mumbai","","Possession: Mar, 2025","Possession: Mar, 2025","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-54","https://housing.com/in/buy/mumbai/mumbai","Contact","Heavenly Homz","1/27","Dotom Isle","1, 2, 3 BHK Flats  in Malad West, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Malad West, Mumbai","2w ago","Possession: Dec, 2024","Possession: Dec, 2024","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-55","https://housing.com/in/buy/mumbai/mumbai","Contact","Banke","1/15","Avant Heritage III","1, 2 BHK Flats  in Jogeshwari East, Mumbai","Zero Brokerage","RERA","1, 2 BHK Flats  in Jogeshwari East, Mumbai","3d ago","Possession: Dec, 2025","Possession: Dec, 2025","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-56","https://housing.com/in/buy/mumbai/mumbai","Contact","Roswalt Realty","1/85","Roswalt Zaiden","2 BHK Flat  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","2 BHK Flat  in Jogeshwari West, Mumbai","2w ago","Possession: Dec, 2028","Possession: Dec, 2028","2 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-57","https://housing.com/in/buy/mumbai/mumbai","Contact","Developer Sales Team","1/34","Paradigm Antalya","1, 2, 3.5, 4.5 BHK Flats  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","1, 2, 3.5, 4.5 BHK Flats  in Jogeshwari West, Mumbai","3w ago","Possession: Dec, 2036","Possession: Dec, 2036","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-58","https://housing.com/in/buy/mumbai/mumbai","Contact","Paradigm Realty","1/17","Alaya","1, 2, 3 BHK Flats  in Jogeshwari West, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Jogeshwari West, Mumbai","4d ago","Possession: Jun, 2027","Possession: Jun, 2027","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
"1770138947-59","https://housing.com/in/buy/mumbai/mumbai","Contact","Proptiger Marketing Services Private Limited","1/7","H Rishabraj Aradhana","1, 2, 3 BHK Flats  in Borivali West, Mumbai","Zero Brokerage","RERA","1, 2, 3 BHK Flats  in Borivali West, Mumbai","2w ago","Possession: Jul, 2026","Possession: Jul, 2026","1 BHK Flat","","https://c.housingcdn.com/demand/s/client/common/assets/heart2.74070fd8.svg","",""
